filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAT54077_05dfcd85_9.fast5	d0b30ccb-0551-46a7-b0ed-31cde67a36fd	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	377	4	2434.144000	1.248250	998	TRUE	2434.212750	943	1.179500	471	11.933142	2.973512	89.495758	11.378018	89.495758	11.378018
FAT54077_05dfcd85_9.fast5	85c22051-57ce-417a-a237-e8488533be56	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	10	3	2431.151500	1.433000	1146	TRUE	2431.269000	1052	1.315500	450	9.043143	2.773923	94.930038	12.566767	94.930038	12.566767
FAT54077_05dfcd85_9.fast5	cb5983f3-ec42-4190-a4a8-6ecb42a829c5	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	91	2	2491.143250	1.164000	931	TRUE	2491.143250	931	1.164000	439	9.575206	2.882796	93.741287	11.208198	93.741287	11.208198
FAT54077_05dfcd85_9.fast5	972c35af-cb51-4964-9c98-040e0d73376e	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	430	4	2497.130250	1.859500	1487	TRUE	2497.286500	1362	1.703250	514	11.703509	2.735893	90.344864	10.528913	90.344864	10.528913
FAT54077_05dfcd85_9.fast5	51189b7c-b14f-442a-bf6c-159f4aa60e53	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	113	1	2355.831750	2.051250	1641	TRUE	2355.886750	1597	1.996250	516	10.531804	2.627674	95.609322	10.868555	95.609322	10.868555
FAT54077_05dfcd85_9.fast5	c9cf87c1-9563-4f72-b932-27919ee9fb88	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	113	1	2498.679750	3.316250	2653	TRUE	2498.679750	2653	3.316250	1140	8.118509	2.723782	97.986816	10.698734	97.986816	10.698734
FAT54077_05dfcd85_9.fast5	88b3e605-2f09-41ca-b1e7-52faa287cedf	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	41	4	2479.272000	1.611250	1289	TRUE	2479.319500	1251	1.563750	522	10.616106	2.805575	90.854324	11.887482	90.854324	11.887482
FAT54077_05dfcd85_9.fast5	73818a39-0fc3-4c40-9ce6-922f04c57f24	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	11	1	2325.361750	1.480750	1184	TRUE	2325.385500	1165	1.457000	494	10.244306	2.841035	95.439499	11.208198	95.439499	11.208198
FAT54077_05dfcd85_9.fast5	54af42a5-0400-465c-ad2c-6704c5684c80	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	95	1	2490.670250	1.481000	1184	TRUE	2490.747750	1122	1.403500	532	9.329421	2.870870	89.665581	11.208198	89.665581	11.208198
FAT54077_05dfcd85_9.fast5	fc158868-ea6c-488d-9ce8-061508a2aec7	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	444	4	2404.316000	3.117250	2493	TRUE	2404.451000	2385	2.982250	1121	11.076381	2.944246	87.967369	11.887482	87.967369	11.887482
